model,evaluation_type,task_type,score
gemma-3-1b-it,zero_shot,az_en,8.341803063207472
gemma-3-1b-it,zero_shot,tr_az,4.990367679308906
gemma-3-1b-it,zero_shot,tr_en,22.77571245526139
gemma-3-1b-it,zero_shot,en_az,0.9888070041141587
gemma-3-1b-it,zero_shot,az_tr,2.569451885322156
gemma-3-1b-it,zero_shot,en_tr,17.538885165001044
gemma-3-1b-it,few_shot_1,az_tr,2.1606109103932525
gemma-3-1b-it,few_shot_1,tr_az,3.338558403970248
gemma-3-1b-it,few_shot_1,en_tr,6.526859376817811
gemma-3-1b-it,few_shot_1,tr_en,20.222419788291763
gemma-3-1b-it,few_shot_5,az_tr,4.263144273055938
gemma-3-1b-it,few_shot_5,tr_az,9.605624159056749
gemma-3-1b-it,few_shot_5,en_tr,10.976438032909812
gemma-3-1b-it,few_shot_5,tr_en,14.89391516190766
gemma-3-1b-it,transfer_1,az_tr,2.1606109103932525
gemma-3-1b-it,transfer_1,tr_az,3.338558403970248
gemma-3-1b-it,transfer_1,en_tr,6.526859376817811
gemma-3-1b-it,transfer_1,tr_en,20.222419788291763
gemma-3-1b-it,transfer_5,az_tr,4.263144273055938
gemma-3-1b-it,transfer_5,tr_az,9.605624159056749
gemma-3-1b-it,transfer_5,en_tr,10.976438032909812
gemma-3-1b-it,transfer_5,tr_en,14.89391516190766
